sin,1.000000e-01,1.000000e-01,2.969612e+04
square,1.000000e-01,1.000000e-01,2.969612e+04
saw,1.000000e-01,1.000000e-01,2.969612e+04
sin,1.000000e-01,1.500000e-01,3.980748e+04
square,1.000000e-01,1.500000e-01,3.980748e+04
saw,1.000000e-01,1.500000e-01,3.980748e+04
sin,1.000000e-01,2.250000e-01,5.377263e+04
square,1.000000e-01,2.250000e-01,5.377263e+04
saw,1.000000e-01,2.250000e-01,5.377263e+04
sin,1.000000e-01,3.375000e-01,7.572482e+04
square,1.000000e-01,3.375000e-01,7.572482e+04
saw,1.000000e-01,3.375000e-01,7.572482e+04
sin,1.000000e-01,5.062500e-01,1.144976e+05
square,1.000000e-01,5.062500e-01,1.144976e+05
saw,1.000000e-01,5.062500e-01,1.144976e+05
sin,1.000000e-01,7.593750e-01,1.864333e+05
square,1.000000e-01,7.593750e-01,1.864333e+05
saw,1.000000e-01,7.593750e-01,1.864333e+05
sin,1.000000e-01,1.139063e+00,3.223609e+05
square,1.000000e-01,1.139063e+00,3.223609e+05
saw,1.000000e-01,1.139063e+00,3.223609e+05
sin,1.000000e-01,1.708594e+00,5.837787e+05
square,1.000000e-01,1.708594e+00,5.837787e+05
saw,1.000000e-01,1.708594e+00,5.837787e+05
sin,1.000000e-01,2.562891e+00,1.091762e+06
square,1.000000e-01,2.562891e+00,1.091762e+06
saw,1.000000e-01,2.562891e+00,1.091762e+06
sin,1.000000e-01,3.844336e+00,2.071817e+06
square,1.000000e-01,3.844336e+00,2.071817e+06
saw,1.000000e-01,3.844336e+00,2.071817e+06
sin,1.000000e-01,5.766504e+00,3.907645e+06
square,1.000000e-01,5.766504e+00,3.907645e+06
saw,1.000000e-01,5.766504e+00,3.907645e+06
sin,1.000000e-01,1.000000e-01,2.969612e+04
square,1.000000e-01,1.000000e-01,2.969612e+04
saw,1.000000e-01,1.000000e-01,2.969612e+04
sin,1.000000e-01,1.500000e-01,3.980748e+04
square,1.000000e-01,1.500000e-01,3.980748e+04
saw,1.000000e-01,1.500000e-01,3.980748e+04
sin,1.000000e-01,2.250000e-01,5.377263e+04
square,1.000000e-01,2.250000e-01,5.377263e+04
saw,1.000000e-01,2.250000e-01,5.377263e+04
sin,1.000000e-01,3.375000e-01,7.572482e+04
