   1.8514745e+00   8.8268527e-01   0.0000000e+00   7.5080155e-02   6.2683908e-01   1.1649535e+00   1.5366750e+00
   1.5366750e+00   1.8514745e+00   8.8268527e-01   3.5160690e-01   7.5080155e-02   6.2683908e-01   1.0607982e+00
   1.0607982e+00   1.5366750e+00   1.8514745e+00  -6.9651254e-01   3.5160690e-01   7.5080155e-02   2.1952520e-01
   2.1952520e-01   1.0607982e+00   1.5366750e+00   1.6961425e+00  -6.9651254e-01   3.5160690e-01   8.1315370e-01
   8.1315370e-01   2.1952520e-01   1.0607982e+00   5.9059778e-02   1.6961425e+00  -6.9651254e-01   1.7478748e+00
   1.7478748e+00   8.1315370e-01   2.1952520e-01   1.7970718e+00   5.9059778e-02   1.6961425e+00   2.3769245e+00
   2.3769245e+00   1.7478748e+00   8.1315370e-01   2.6406853e-01   1.7970718e+00   5.9059778e-02   2.7584893e+00
   2.7584893e+00   2.3769245e+00   1.7478748e+00   8.7167329e-01   2.6406853e-01   1.7970718e+00   2.2816155e+00
   2.2816155e+00   2.7584893e+00   2.3769245e+00  -1.4461715e+00   8.7167329e-01   2.6406853e-01   6.4026991e-01
   6.4026991e-01   2.2816155e+00   2.7584893e+00  -7.0116535e-01  -1.4461715e+00   8.7167329e-01  -1.4109607e+00
  -1.4109607e+00   6.4026991e-01   2.2816155e+00   1.2459821e+00  -7.0116535e-01  -1.4461715e+00  -4.6759811e-01
  -4.6759811e-01  -1.4109607e+00   6.4026991e-01  -6.3897700e-01   1.2459821e+00  -7.0116535e-01   2.8815794e-01
   2.8815794e-01  -4.6759811e-01  -1.4109607e+00   5.7735022e-01  -6.3897700e-01   1.2459821e+00   1.8794821e-01
   1.8794821e-01   2.8815794e-01  -4.6759811e-01  -3.6002963e-01   5.7735022e-01  -6.3897700e-01   2.2461555e-01
   2.2461555e-01   1.8794821e-01   2.8815794e-01  -1.3557629e-01  -3.6002963e-01   5.7735022e-01  -2.4464438e-01
  -2.4464438e-01   2.2461555e-01   1.8794821e-01  -1.3493385e+00  -1.3557629e-01  -3.6002963e-01  -1.2909771e+00
  -1.2909771e+00  -2.4464438e-01   2.2461555e-01  -1.2704499e+00  -1.3493385e+00  -1.3557629e-01  -2.6917860e+00
